Account_no,Inv_No,ProjNo,Project_Name,Client,Client_Id,Date_sent,Amount
33,15/005,K1201,Bestwood development,BESTWOOD SECURITISATION RF (PTY) LTD,13,12/02/2015,216079.59
34,15/014,K1201,Bestwood development,BESTWOOD SECURITISATION RF (PTY) LTD,13,18/03/2015,110366.58
35,15/018,K1201,Bestwood development,BESTWOOD SECURITISATION RF (PTY) LTD,13,28/03/2015,124639.85
01,15/086,K951,Tambotie development,BUNKERHILL INVESTMENTS 376 (PTY) LTD,9,27/11/2015,49191.00
01,15/086,K1154,Sable Home meester OHL,VIERFONTEIN PROPERTIES (PTY) LTD,12,27/11/2015,197447.42
01,16/024,K839,"Six Fountains, Equestria",Uniqon wonings (Pty) Ltd,8,20/04/2016,17100.00
02,16/026,K1154,Sable Home meester OHL,VIERFONTEIN PROPERTIES (PTY) LTD,12,11/05/2016,438210.30
01,16/029,K1128,Newmark Estate erf 1,BOULDER PROPERTY INVESTMENTS (PTY) LTD,11,20/05/2016,22800.00
23,16/036,K1403,Kuruman Mall,NEMATEX (PTY) LTD,7,13/06/2016,82650
01,16/046,K103,Zervas - Rietvalleirand X 45,COSTA ZERVAS PROJECTS,10,08/08/2016,15903.00
07,16/047,K1370,Hazeldean Offices,ABLAND (PTY) LTD,1,12/08/2016,17100.00
01,16/057,K1502/3,Hartbeesfontein substation ,M&T DEVELOPMENT (PTY) LTD,5,30/09/2016,114757.46
02,16/058,K1502/2,Witfontein substation,M&T DEVELOPMENT (PTY) LTD,5,30/09/2016,31076
01,17/001,K1508,Clayville X74,M&T DEVELOPMENT (PTY) LTD,5,31/01/2017,42390.01
02,17/006,K1449,Brooklyn Student Housing,Six Fountains X9 - Uniqon,8,31/01/2017,201531.33
01,17/007,K1502/3,Hartbeesfontein substation ,M&T DEVELOPMENT (PTY) LTD,5,10/03/2017,216825.21
02,17/013,K1128,Newmark Estate erf 1,BOULDER PROPERTY INVESTMENTS (PTY) LTD,11,20/02/2017,110544.77
07,17/017,K1211,Shalimar Ridge Hostels,DGSD Consulting Eng. & Project Managers,6,07/03/2017,108429.68
05,17/018,K1211,Shalimar Ridge Hostels,DGSD Consulting Eng. & Project Managers,6,07/03/2017,80071.55
08,17/026,K1233,Wingtip Shopping centre,WINGTIP CROSSING SHOPPING (PTY) LTD,4,19/04/2017,44921.61
01,17/027,K1109,Six fountains offices,PRICELESS PROPERTIES (PTY) LTD,3,26/04/2017,47253.98
01,17/028,K1230,Groenkloof student centre level 3,UNIVERSITY OF PRETORIA: Facilities,2,26/04/2017,10233.08
10,17/029,K1030,Loftus Park Building,ABLAND (PTY) LTD,1,28/04/2017,210366.40
02,17/030,K1421,Six Fountains X8,Brooklyn Student Housing - Uniqon,8,12/05/2017,1127655.49
